,Chemical_formula,Elements,CN
0,Al2,"Al, Al","4, 4"
1,Fe2,"Fe, Fe","8, 8"
2,AlFe,"Al, Fe","10, 10"
3,Al2,"Al, Al","4, 4"
4,Fe2,"Fe, Fe","6, 6"
5,AlFe,"Al, Fe","8, 8"
6,Al2,"Al, Al","2, 2"
7,Fe2,"Fe, Fe","6, 6"
8,AlFe,"Al, Fe","4, 4"
9,Al2,"Al, Al","2, 2"
10,Al3,"Al, Al, Al","10, 10, 10"
11,Fe3,"Fe, Fe, Fe","7, 7, 6"
12,AlFe2,"Al, Fe, Fe","10, 6, 6"
13,Al2Fe,"Al, Al, Fe","4, 4, 8"
14,Al3,"Al, Al, Al","8, 4, 4"
15,Fe3,"Fe, Fe, Fe","8, 10, 10"
16,AlFe2,"Al, Fe, Fe","4, 6, 6"
17,Al2Fe,"Al, Al, Fe","2, 2, 2"
18,Al3,"Al, Al, Al","5, 5, 4"
19,Fe3,"Fe, Fe, Fe","6, 6, 6"
